,id,location,name,link,location_new,x,y
13014,3663,"40.72119904,-73.98190308",243 East 2nd Street,/building/243-east-2-street-manhattan,"['40.72119904', '-73.98190308']",40.72119904,-73.98190308
13015,3664,"40.72119904,-73.98190308",245 East 2nd Street,/building/245-east-2-street-new_york,"['40.72119904', '-73.98190308']",40.72119904,-73.98190308
13016,3666,"40.72109985,-73.98169708",249 East 2nd Street,/building/249-east-2-street-new_york,"['40.72109985', '-73.98169708']",40.72109985,-73.98169708
13017,17896,"40.76210022,-73.99030304",693 Ninth Avenue,/building/693-9-avenue-manhattan,"['40.76210022', '-73.99030304']",40.76210022,-73.99030304
13018,17901,"40.76240158,-73.99079895",410 West 48th Street,/building/410-west-48-street-manhattan,"['40.76240158', '-73.99079895']",40.76240158,-73.99079895
13019,3675,"40.72200012,-73.98210144",228 East 3rd Street,/building/228-east-3-street-manhattan,"['40.72200012', '-73.98210144']",40.72200012,-73.98210144
13020,17675,"40.76029968,-73.99459839",596 Tenth Avenue,/building/596-10-avenue-new_york,"['40.76029968', '-73.99459839']",40.76029968,-73.99459839
13021,3440,"40.72159958,-73.97989655",285 East 3rd Street,/building/285-east-3-street-manhattan,"['40.72159958', '-73.97989655']",40.72159958,-73.97989655
13022,17679,"40.76029968,-73.99430084",461 West 43rd Street,/building/461-west-43-street-manhattan,"['40.76029968', '-73.99430084']",40.76029968,-73.99430084
13023,3445,"40.72240067,-73.97979736",58 Avenue C,/building/58-avenue-c-manhattan,"['40.72240067', '-73.97979736']",40.72240067,-73.97979736
13024,17684,"40.76010132,-73.99389648",449 West 43rd Street,/building/449-west-43-street-new_york,"['40.76010132', '-73.99389648']",40.76010132,-73.99389648
13025,3447,"40.72249985,-73.97969818",62 Avenue C,/building/62-avenue-c-manhattan,"['40.72249985', '-73.97969818']",40.72249985,-73.97969818
13026,17688,"40.75989914,-73.99349976",439 West 43rd Street,/building/439-west-43-street-manhattan,"['40.75989914', '-73.99349976']",40.75989914,-73.99349976
13027,17689,"40.75989914,-73.99340057",435 West 43rd Street,/building/435-west-43-street-new_york,"['40.75989914', '-73.99340057']",40.75989914,-73.99340057
13028,17697,"40.75939941,-73.99240112",607 Ninth Avenue,/building/607-9-avenue-new_york,"['40.75939941', '-73.99240112']",40.75939941,-73.99240112
13029,17702,"40.75970078,-73.99210358",619 Ninth Avenue,/building/619-9-avenue-manhattan,"['40.75970078', '-73.99210358']",40.75970078,-73.99210358
13030,31124,"40.79710007,-73.93959808",215 East 115th Street,/building/215-east-115-street-manhattan,"['40.79710007', '-73.93959808']",40.79710007,-73.93959808
13031,17850,"40.76179886,-73.99140167",420 West 47th Street,/building/420-west-47-street-manhattan,"['40.76179886', '-73.99140167']",40.76179886,-73.99140167
